VERBS
incido;I fall,I attack
occido;I fall,I die
sequor;I follow
persequor;I follow
confiteor;I confess,I admit,I acknowledge
vito;I avoid
devito;I avoid
vagor;I wander,I ramble
circumlino;I smear around
adhibeo;I use,I employ
postulo;I demand
pareo;I obey
pario;I bear
hortor;I encourage
arceo;I keep off	
decet;it is proper
placet;it is pleasing
licet;it is allowed
decipio;I catch
coeo;I meet,I assemble
aio;I say
faveo;I favour
lateo;I hide,I sulk
redundo;I overflow,I pour
patefacio;I open,I disclose
illustro;I illuminate,I brighten,I elucidate,I explain
pando;I spread,I extend,I unfold,I expand
cubo;I lie down,I recline
procumbo;I fall forward
haereo;I persist,I follow
peto;I ask,I beg,I request
scio;I know,I understand
tabeo;I melt,I waste away
soleo;I am accustomed to
tego;I cover
diligo;I love,I esteem
miro;I wonder
indolesco;I ache,I grieve

NOUNS
cutis;skin
porcus;pig
grex;herd,flock,swarm,group,team
gramen;grass
talus;ankle
sudor;sweat
auris;ear
auricula;little ear
asellus;ass,donkey
mens;mind
dorsum;back (body)
onus;burden
voluntas;will,free will,choice
studium;keenness,diligence
taeda;torch
prex;prayer,request
fur;thief
agmen;troop,crowd,flock
divus;divinity
deus;god
bracchia;arm
collum;neck
macies;thinness
acervus;pile (of objects),stack (of objects),treasure
pudor;shame,disgrace,humiliation,modesty,decency
facies;shape,figure,appearance
crines;hair
humus;ground
basium;kiss
caelum;sky,heaven
os;mouth
cera;wax
plangor;striking,beating,grief
fraus;deceit,delusion,error
lumen;light

ADJECTIVES
pinguis;fat
nitidus;shining,beautiful
iucundus;jocund,pleasing
imus;lowest,last,bottom
iniquus;unfair,bad
mollis;soft,gentle
cunctus;whole,collectively
impubes;youthful
varius;diverse,different,varied
tectus;covered,concealed
viridis;green,young,fresh

CONJUNCTIONS
quoniam;since,now that
cum;with,when,although,since,because
ac;and
atque;and

ADVERBS
misere;desperately
suaviter;pleasantly
usque;all the way
equidem;truly,indeed,in fact,at any rate
partim;partly
pariter;equally,together
quo;where,whereto
paulatim;little by little,gradually
quondam;at a certain time,once
tot;so many
quot;how many
totiens;so often
quotiens;how often
frustra;in error
