VERBS
incido;I fall,I attack
occido;I fall,die
sequor;I follow
persequor;I follow
confiteor;I confess,I admit,I acknowledge
vito;I avoid
devito;I avoid
vagor;I wander,I ramble
circumlino;I smear around
adhibeo;I use,I employ
postulo;I demand
pareo;I obey
pario;I bear
hortor;I encourage
arceo;I keep off	
decet;it is proper
placet;it is pleasing
licet;it is allowed
decipio;I catch
coeo;I meet,I assemble
aio;I say
faveo;I favour
lateo;I hide,I sulk
redundo;I overflow,I pour
patefacio;I open,I disclose
illustro;I illuminate,I brighten,I elucidate,I explain
pando;I spread,I extend,I unfold,I expand
cubo;I lie down,I recline
procumbo;I fall forward
haereo;I persist,I follow
peto;I ask,I beg,I request

NOUNS
cutis;skin
porcus;pig
grex;herd,flock,swarm,group,team
gramen;grass
talus;ankle
sudor;sweat
auris;ear
auricula;little ear
asellus;ass,donkey
mens;mind
dorsum;back (body)
onus;burden
voluntas;will,free will,choice
studium;keenness,diligence
taeda;torch
prex;prayer,request
fur;thief
agmen;troop,crowd,flock
divus;divinity
deus;god
bracchia;arm
collum;neck
macies;thinness
acervus;heap,pile,stack,treasure
pudor;shame,disgrace,humiliation,modesty,decency
facies;shape,figure,appearance
crines;hair

ADJECTIVES
pinguis;fat
nitidus;shining,beautiful
iucundus;jocund,pleasing
imus;lowest,last,bottom
iniquus;unfair,bad
mollis;soft,gentle
cunctus;whole,collectively

CONJUNCTIONS
quoniam;since,now that
quo;where
cum;with,when,although,since,because
ac;and
atque;and

ADVERBS
misere;desperately
suaviter;pleasantly
usque;all the way
equidem;truly,indeed,in fact,at any rate
partim;partly
humi;on the ground
